Оригинал	Утверждено	Фаргус	Изменено	Примечание	Пример файла
Deril	Дерил	Дерил	нет	относится к ребенку Сернда	cederil.CRE
Deril Lich	Лич Дерил	Лич Дерил	нет	гуманоид, анимация=лич	cedelich.CRE
Dermin Courtierdale	Дермин Кортьердэйл	Дермин Кортьердэйл	нет	гуманоид, анимация=мужчина-вор	jadermin.CRE
Derrick	Деррик	Деррик	нет	гуманоид, анимация=мужчина-боец	derrick.CRE
Derro	Дерро	Дерро	нет	гуманоид, анимация=мужчина-дварф-боец	senorc02.CRE
Derro Berserker	Дерро-берсерк	Дерро Берсеркер	да	гуманоид, анимация=мужчина-дварф-боец	senorc01.CRE
Desert Troll	Пустынный тролль	Пустынный Тролль	нет	гуманоид-гигант, анимация=троль	trolde01.CRE
Desharik	Дешарик	Дешарик	нет	гуманоид, анимация=мужчина-боец	ppdesh.CRE
Despan	Деспан	(-)	да	один из домов дроу	(-)
Desreta	Десрета	Десрета	нет	гуманоид, анимация=женщина-вор	desret.CRE
Destus Gurn	Дестус Гарн	Дестус Гарн	нет	гуманоид, анимация=KOBOLD_XVART - 31744	destus.CRE
Dettseh's Ghost	Призрак Деттсе	Призрак Деттсе	нет	Нежить, анимация=мужчина-боец	shagho02.CRE
Deva	Дэв	Дева	да	монстр, анимация=солар	devagood.CRE
Devil Shade	Тень-дьявол	Тень Дьявола	да	Нежить, анимация=SHADOW - 3467	hgwra02.CRE
Dezkiel	Дезкиль	Дезикел	да	гуманоид, анимация=мужчина-боец	dezkie.CRE
Dhanial	Даниэл	Даниэл	нет	гуманоид, анимация=женщина-вор	dhania.CRE
Diana	Диана	Диана	нет	гуманоид, анимация=женщина-маг	diana.CRE
Diane	Диана	Диана	нет	гуманоид, анимация=крестьянка	diane.CRE
Diarmid	Диармид	Диармид	нет	гуманоид, анимация=мужчина-боец	diarmid.CRE
Diaytha	Диайта	Диайта	нет	гуманоид, анимация=эльфийка-клерик	senpri01.CRE
Digger	Землекоп	Диггер	да	гуманоид, анимация=эльф-боец	digger.CRE
Dilav	Дайлэв	Дайлэв	нет	гуманоид, анимация=мужчина-боец	redilav.CRE
Dilfin	Дилфин	(-)	да	(-)	(-)
Dili	Дайли	Дайли	нет	гуманоид, анимация=девочка	ppdili.CRE
Dillar	Диллар	Диллар	нет	гуманоид, анимация=крестьянин	dillar.CRE
Dilos	Дилос	Дилос	нет	гуманоид, анимация=мужчина-клерик	flam13.CRE
Dirbert	Дирберт	Дирберт	нет	гуманоид, анимация=мужчина-боец	uhkid01.CRE
Dirbish the Black	Дирбиш Черный	Дирбиш Черный	нет	гуманоид, анимация=мужчина-вор	ppduel2.CRE
Dire Wolf	Лютоволк	Ужасный Волк	да	животное, анимация=WOLF_DIRE - 3149	wolfdi.CRE
Director	Управляющий	Управляющий	нет	монстр, анимация=бехолдер	behdir01.CRE
Dirk	Дирк	Дирк	нет	гуманоид, анимация=мужчина-вор	dirk.CRE
Dirth	Дирт	(-)	да	агент работорговцев	(-)
Diseased Child	Больной ребенок	Больной ребенок	нет	гуманоид, анимация=мальчик	riftc01.CRE
Diseased Gibberling	Больной гибберлинг	Больной Гибберлинг	нет	гуманоид, анимация=гибберлинг	gibber2.CRE
Diseased One	Больной	Больной	нет	гуманоид, анимация=монах	riftm01.CRE
Diseased Rat	Больная крыса	Заразная Крыса	да	животное, анимация=грызун	sickrat.CRE
Diviner	Предсказатель судьбы	Прорицатель	да	гуманоид, анимация=мужчина-маг	divine.CRE
Diyab	Дийяб	Дийяб	нет	гуманоид, анимация=мужчина-вор	diyab.CRE
djinn Malaaq	джинн Малаак	(-)	да	(-)	(-)
Djinni	Джинн	Джинн	нет	гуманоид-гигант, анимация=DJINNI_LEGS - 32518	djinnisu.CRE
Doc 'cheezy' Hawkins	Док Хоукинс 'Улыбочка'	Док 'Чизи' Хаукинс	да	гуманоид, анимация=MDK2_DOCTOR - 32564	mdk2doc.CRE
Dockhand	Докер	Докхенд	да	гуманоид, анимация=моряк	pirdoc01.CRE
Dockhand Ogre	Огр-докер	Прибрежный Огр	да	гуманоид-гигант, анимация=огр	bdock1.CRE
Dog	Собака	Собака	нет	животное, анимация=DOG_WAR - 29697	dadog.CRE
Dola Fadoon	Дола Фадун	Дола Фадун	нет	гуманоид-гигант, анимация=DJINNI - 32517	dagenie.CRE
Doom Guard	Страж Рока	Страж Рока	нет	монстр, анимация=мужчина-боец	doomgu.CRE
Doomsayer	Глашатай Рока	Глашатай Рока	нет	монстр, анимация=мужчина-боец	doomsa.CRE
Doppleganger	Астральный двойник	Астральный двойник	нет	гуманоид, анимация=DOPPLEGANGER - 29952	chevil02.CRE
Dorkus	Доркус	Доркус	нет	гуманоид, анимация=крестьянин	dorkus.CRE
Dra'tan	Дра'тан	Дра'тан	нет	гуманоид, анимация=мужчина-боец	dratan.CRE
Dracandros	Дракандрос	Дракандрос	нет	гуманоид, анимация=мужчина-маг	demmag.CRE
Draconis	Драконис	Драконис	нет	гуманоид, анимация=мужчина-клерик	bazdra01.CRE
Dradeel	Дрейдил	Дрейдил	нет	гуманоид, анимация=эльф-маг	dradee.CRE
Dradunce	Драдунс	(-)	да	(-)	(-)
Dragon	Дракон	Дракон	нет	монстр, анимация=зеленый дракон	fsdragon.CRE
Drakar	Дракар	Дракар	нет	гуманоид, анимация=мужчина-боец	drakar.CRE
Drakonis	Драконис	(-)	да	(-)	(-)
Dramnek Olk	Драмнек Олк	(-)	да	владелец меча Кундан	(-)
Drasus	Драсус	Драсус	нет	гуманоид, анимация=мужчина-боец	drasus.CRE
Draug Fea	Дрог Фиа	Драуг Фиа	да	гуманоид, анимация=FIGHTER_MALE_DWARF_LOW - 2738	draug.CRE
Dread Wolf	Зловещий волк	Ужасный Волк	да	монстр, анимация=WOLF_DREAD - 31493	wolfd1.CRE
Dream Vision	Видение	Сонное Видение	да	гуманоид, анимация=CLERIC_MALE_HUMAN_LOW - 248	dreampc.CRE
Drelik	Дрелик	Дрелик	нет	гуманоид, анимация=эльф-вор	drelik.CRE
Drenden	Дренден	(-)	да	(-)	(-)
Drenden Shale	Дренден Шейл	Дренден Шейл	нет	гуманоид, анимация=эльф-клерик	drenden.CRE
Dreppin	Дреппин	Дреппин	нет	гуманоид, анимация=мужчина-клерик	dreppi.CRE
Dribben	Дриббен	Дриббен	нет	гуманоид, анимация=мужчина-боец	dribbe.CRE
Drienne	Дриенна	Дриенна	нет	гуманоид, анимация=STATIC_GIRL - 4584	drienn.CRE
Drizzt	Дриззт	(-)	да	легендарный темный эльф	c6drizz.CRE
Drizzt Do'Urden	Дриззт До'Урден	Дриззт, Дриззт до'Урден, Дриззт Доурден	да	легендарный темный эльф	(-)
Droth	Дрот	Дрот	нет	гуманоид, анимация=огр-маг	droth.CRE
Drow	Дроу	Дроу	нет	гуманоид, анимация=эльф-боец	c6drow1.CRE
Drow Bartender	Дроу-бармен	Дроу Бармен	да	гуманоид, анимация=эльф-боец	uddrow22.CRE
Drow Cook	Дроу-повар	Повар-Дроу	да	гуманоид, анимация=эльф-боец	uddrow05.CRE
Drow Leader	Командир дроу	Лидер Дроу	да	гуманоид, анимация=эльф-боец	dadrow6.CRE
Drow Patron	Владыка дроу	Владыка Дроу	нет	гуманоид, анимация=эльфийка-боец	udcom03.CRE
Drow Priestess	Жрица дроу	Дроу-жрица	да	гуманоид, анимация=женщина-дроу	chevil07.CRE
Drow Servant	Дроу-слуга	Слуга Дроу	да	гуманоид, анимация=эльф-маг	dadrow1.CRE
Drow Slave Trader	Дроу-работорговец	Работорговец Дроу	да	гуманоид, анимация=эльф-боец	dadrow3.CRE
Drow Torturer	Дроу-палач	Дроу-Палач	нет	гуманоид, анимация=эльфийка-клерик	dadrow10.CRE
Drow Warrior	Дроу-воин	Воин Дроу	да	гуманоид, анимация=дроу	chevil06.CRE
Drow Wizard	Дроу-волшебник	Волшебник Дроу	да	гуманоид, анимация=дроу	drow03.CRE
Druid	Друид	Друид	нет	гуманоид, анимация=мужчина-клерик	dgdru01.CRE
Drunk	Пьяница	Пьяница	нет	гуманоид, анимация=крестьянин	drunk.CRE
Drunken Cleric of Talos	Пьяный священник Талоса	Пьяный священник Талоса	нет	гуманоид, анимация=STATIC_PEASANT_MAN_CHAIR - 1664	ltalos.CRE
Drunken Sailor	Пьяный моряк	Пьяный Моряк	нет	гуманоид, анимация=моряк	pirpir04.CRE
Drush	Драш	Драш	нет	гуманоид-гигант, анимация=огр-маг	drush.CRE
Dryad	Дриада	Дриада	нет	гуманоид, анимация=SIRINE - 8192	dry01.CRE
Dryad of the Cloudpeaks	Дриада Облачных пиков	Дриада Облачного Пика	да	гуманоид, анимация=SIRINE - 8192	dryad.CRE
Duel Coordinator	Организатор дуэли	Координатор дуэли	да	гуманоид, анимация=мужчина-вор	ppduelc.CRE
Duerdemont	Дюрдемонт	в диалоге нет	да	капитан шхуны Морская Фея	(-)
Duergar	Дуэргар	Дуэргар	нет	гуманоид, анимация=мужчина-дварф-боец	ar18dwaf.CRE
Duergar Sapper	Дуэргар-сапер	Сапер Дуергар	да	гуманоид, анимация=мужчина-дварф-боец	sewdue01.CRE
Duke Eltan	Герцог Элтан	Дюк Элтан	да	гуманоид, анимация=FIGHTER_MALE_HUMAN_LOW - 2736	chgood07.CRE
Dun	Дан	Дан	нет	гуманоид, анимация=толстяк	dun.CRE
Dunbar	Данбэр	Данбэр	нет	гуманоид, анимация=мужчина-боец	ppright.CRE
Dunbar the Fifth	Дунбар Пятый	Дунбар Пятый	нет	гуманоид, анимация=мужчина-вор	tanadv06.CRE
Dunkin	Данкин	Данкин	нет	гуманоид, анимация=мужчина-боец	dunkin.CRE
Durlag Trollkiller	Дурлаг Гроза троллей	Дурлаг Губитель троллей	да	гуманоид, анимация=мужчина-дварф-боец	dopdur.CRE
Durlag's Pride	Гордость Дурлага	Гордость Дурлага	нет	гуманоид, анимация=DOOM_GUARD - 2565	dursword.CRE
Durlyle	Дерлайл	Дюрлил	да	гуманоид, анимация=мужчина-боец	durlyl.CRE
Durst	Дерст	Даст	да	Нежить, анимация=вампир	bodvam01.CRE
Dushai	Душаи	Душай	да	гуманоид, анимация=женщина-полурослик-клерик	dushai.CRE
Dust Mephit	Пылевой мефит	Пылевой мефит	нет	гуманоид, анимация=имп	elemep08.CRE
Dwarf	Дварф	Гном	да	гуманоид, анимация=мужчина-дварф-боец	dadwarf.CRE
Dwarf Thrall	Дварф-раб	Гном Раб	да	гуманоид, анимация=мужчина-дварф-вор	pdwarf01.CRE
Dwarven Doom Guard	Страж Рока дварфов	Гномий Страж Рока	да	монстр, анимация=мужчина-дварф-боец	doomdur.CRE
Dynaheir	Дайнахейр	Дайнахейр, Дайнахер, Дайнахейр	да	NPC из БГ1, жещина, маг	bpdynahe.CRE
Eagle	Орел	Орел	нет	животное, анимация=орел	eagle.CRE
Eagle Eye	Орлиный глаз	Орлиный глаз	нет	гуманоид, анимация=глаз мага	eyeegl01.CRE
Earth Elemental	Элементаль земли	Элементаль Земли	нет	монстр, анимация=элементаль земли	druear01.CRE
Earth Mephit	Земляной мефит	Земляной мефит	нет	гуманоид, анимация=имп	elemep06.CRE
Edheldor	Эдельдор	(-)	да	(-)	(-)
Edie	Эди	Эди	нет	гуманоид, анимация=STATIC_PEASANT_WOMAN - 46352	edie.CRE
Edwin	Эдвин	(-)	да	NPC, человек, маг-заклинатель	e35.CRE
Edwin Odesseiron	Эдвин Одессейрон	Эдвин	да	(-)	(-)
Efreeti	Ифрит	Ифрит	нет	гуманоид-гигант, анимация=DJINNI_LEGS - 32518	efreetsu.CRE
Egg Guard	Охранник яиц	Охранник Яиц	нет	гуманоид, анимация=эльф-боец	uddrow20.CRE
Eilisrtaee	Элистрейя	(-)	да	(-)	(-)
Eilistraee	Илистрэйи	Эйлистрее	да	богиня, Леди с Серебряными Волосами	(-)
Einhiris	Эйнхирис	Эйнхирис	нет	монстр, анимация=ANTISOLAR - 32572	fangel01.CRE
Ekim Cyre	Еким Сайре	Еким Сайре	нет	гуманоид, анимация=мужчина-вор	werewyv1.CRE
Elanda	Эланда	Эланда	нет	гуманоид, анимация=куртизанка	bwench.CRE
Eldarin	Элдарин	Элдарин	нет	гуманоид, анимация=мужчина-боец	reeldar.CRE
Elder Orb	Старший Глаз	Старший Шар	да	монстр, анимация=бехолдер	beheld01.CRE
Elder Sorn	Сорн Старший	Сорн Старший	нет	гуманоид, анимация=MAGE_MALE_HUMAN_LOW - 2992	elders.CRE
Eldoth	Элдот	(-)	да	гуманоид, анимация=мужчина-вор	eldoth.CRE
Eldoth Cron	Элдот Крон	Елдот	да	(-)	(-)
Elemental Lich	Лич стихий	Лич Стихий	нет	Нежить, анимация=лич	hllich.CRE
Elence Fielding	Иленс Филдинг	Иленс Филдинг	нет	гуманоид, анимация=эльфийка-маг	uhmer01.CRE
Eler Had	Элер Хэд	Элер Хэд	нет	гуманоид, анимация=мужчина-вор	gromg09.CRE
Elf	Эльф	Эльф	нет	гуманоид, анимация=эльф-боец	sarelf05.CRE
Elf Female	Эльфийка	Эльфийская женщина	да	гуманоид, анимация=эльфийка-клерик	dreself2.CRE
Elf Male	Эльф	Эльфийский мужчина	да	гуманоид, анимация=эльф-клерик	dreself1.CRE
Elhan	Эльхан	Эльхан	нет	эльф	c6elhan.CRE
Elite Fire Giant	Элитный огненный великан	Элитный Огненный Великан	нет	гуманоид-гигант, анимация=огненный гигант	hgwar02.CRE
Elite Guard	Гвардеец	Элита охраны	да	гуманоид, анимация=мужчина-боец	bhgaal01.CRE
Elite Guard Captain	Капитан гвардейцев	Элитный Капитан стражи	да	гуманоид, анимация=мужчина-боец	bhcapt01.CRE
Elite Orc	Элитный орк	Элитный Орк	нет	гуманоид, анимация=IC_ORC_MELEE1 - 59392	sarorc01.CRE
Elite Orog	Элитный орог	Элитный Орог	нет	гуманоид, анимация=IC_OROG1 - 59136	saroro01.CRE
Eliya	Элия	Элия	нет	гуманоид, анимация=крестьянка	dpstat01.CRE
Elkart	Элкарт	Элкарт	нет	гуманоид, анимация=мужчина-боец	elkart.CRE
Ellageri	Элледжери	(-)	да	наставник Рошейлы	(-)
Ellesime	Эллесим	Эллесайм	да	королева эльфов	chgood09.CRE
Ellie	Элли	Элли	нет	гуманоид, анимация=толстушка	pircor05.CRE
Elminster	Эльминстер	Эльминстер	нет	архимаг Фаэруна	amelm01.CRE
Eluno	Элуно	Илуно	да	гуманоид, анимация=мужчина-боец	clelun01.CRE
Elven Archer	Эльф-лучник	Эльфийский Лучник	да	гуманоид, анимация=эльф-боец	suelfw13.CRE
Elven Battle Mage	Эльф-боевой маг	Эльфийский Боевой Маг	да	гуманоид, анимация=эльф-маг	suelfw10.CRE
Elven God	Эльфийский бог	Эльфийский Бог	нет	гуманоид, анимация=эльф-боец	c6god.CRE
Elven Madman	Сумасшедший эльф	Эльфийский сумасшедший	да	гуманоид, анимация=эльф-боец	gormad1.CRE
Elven Mage	Эльф-маг	Эльфийский Маг	да	гуманоид, анимация=эльф-маг	c6elf3.CRE
Elven Man	Эльф	Эльф	нет	гуманоид, анимация=эльф-боец	sarelf01.CRE
Elven Spirit	Эльфийский дух	Эльфийский Дух	нет	Нежить, анимация=эльф-боец	m05spir1.CRE
Elven War Guard	Эльф-часовой	Эльфийский Страж-Воин	да	гуманоид, анимация=эльф-маг	c6elven2.CRE
Elven War Sage	Эльф-стратег	Эльфийские Военные Мудрецы	да	гуманоид, анимация=эльф-маг	c6warsa1.CRE
Elven Warrior	Эльф-воитель	Эльфийский Воитель	да	гуманоид, анимация=эльф-боец	c6elf1.CRE
Elven Woman	Эльфийка	Эльфийка	нет	гуманоид, анимация=эльфийка-боец	sarelf03.CRE
Elyme	Элим	Элим	нет	гуманоид, анимация=SIRINE - 8192	idryad03.CRE
Embarl	Эмбарл	Эмбарл	нет	гуманоид, анимация=мужчина-вор	embarl.CRE
Emerson	Эмерсон	Эмерсон	нет	гуманоид, анимация=мужчина-боец	emerso.CRE
Emissary Tar	Агент Тар	Агент Тар	нет	гуманоид, анимация=толстушка	emitar.CRE
Empathic Manifestation	Воплощение возмущения	Эмоциональное олицетворение	да	гуманоид, анимация=танарри	riftcr04.CRE
Ender Sai	Эндер Сай.	Эндер Сай.	нет	гуманоид, анимация=эльф-вор	ender.CRE
Enge - Enge	Эндж	Энге	да	гуманоид, анимация=толстяк	shop04.CRE
Enna Hendrick	Энна Хендрик	Энна Хендрик	нет	гуманоид, анимация=крестьянка	gemfar01.CRE
Enna Hendrik	Энна Хендрик	Энна Хендрик	нет	гуманоид, анимация=крестьянка	ennahe.CRE
Enslaved Genie	Порабощенный джинн	Порабощенный Джин	да	гуманоид-гигант, анимация=DJINNI - 32517	hellgen.CRE
Entar Silvershield	Энтар Силвершилд	Энтар Сильвершилд, Энтар Силвершилд	да	гуманоид, (надо посмотреть в БГ1)	ENTAR.CRE
Entillis Fulsom	(н/у)	Энтиллис Фулсом	не утв.	гуманоид, анимация=эльф-маг	entill.CRE
Entu	Энту	Энту	нет	гуманоид, анимация=мужчина-полурослик-боец	obshal01.CRE
Ercias	Эрсиас	Эркиас	да	гуманоид, анимация=мужчина-вор	ffcust01.CRE
Erdane	Эрдейн	Эрдейн	нет	гуманоид, анимация=мужчина-вор	erdane.CRE
Eric Vanstraaten	Эрик Ванстраатен	Эрик Ванстраатен	нет	гуманоид, анимация=мужчина-боец	c6eric.CRE
Erik	Эрик	Эрик	нет	гуманоид, анимация=мужчина-боец	erik.CRE
Erinyes	Эриния	Эринаи	да	монстр, анимация=женщина-боец	deriny01.CRE
Erlin Hendrick	Эрлин Хендрик	Эрлин Хендрик	нет	гуманоид, анимация=мужчина-боец	gemfar02.CRE
Erlin Hendrik	Эрлин Хендрик	Эрлин Хендрик	нет	гуманоид, анимация=крестьянин	erlinh.CRE
Errard	Эррард	Эррард	нет	гуманоид, анимация=мужчина-маг	sarmag01.CRE
Errtu	Эррту	(-)	да	(-)	(-)
Ertof Dand	Эртоф Данд	Эртоф Данд	нет	гуманоид, анимация=мужчина-боец	jaertof.CRE
Escaped Clone	Сбежавший клон	Спасшийся Клон	да	гуманоид, анимация=Эллесим	clone01.CRE
Ethereal Voice	Бесплотный голос	Бесплотный Голос	нет	монстр, анимация=DOOM_GUARD - 2565	chess.CRE
Ettercap	Эттеркап	Эттеркап	нет	монстр, анимация=эттеркап	etter01.CRE
Ettin	Эттин	Эттин	нет	гуманоид-гигант, анимация=IC_ETTIN - 5736	pettin.CRE
Euric	Эурик	Эурик	нет	гуманоид, анимация=STATIC_BOY - 45824	euric.CRE
Evalt	Эвельт	Эвельт	нет	гуманоид, анимация=мужчина-боец	evalt.CRE
Everard	Эверард	(-)	да	могущественный жрец Темпуса	(-)
Executioner	Палач	Палач	нет	гуманоид, анимация=мужчина-вор	pirexe01.CRE
Eye of the Beholder	Глаз Созерцателя	Глаз Созерцателя	нет	гуманоид, анимация=глаз мага	eyebhl01.CRE
Eye of the Dead	Глаз Мертвого	Глаз Мертвого	нет	гуманоид, анимация=глаз мага	eyeded01.CRE
Faafirah	(н/у)	Фаафира	не утв.	гуманоид-гигант, анимация=DJINNI - 32517	trgeni03.CRE
Faber	(н/у)	Фабер	не утв.	гуманоид, анимация=раб	faber.CRE
Fael	(н/у)	Фаэль	не утв.	гуманоид, анимация=мужчина-клерик	tanally1.CRE
Faheed	(н/у)	Фахид	не утв.	гуманоид, анимация=мужчина-боец	amfaheed.CRE
Fahrington	(н/у)	Фахрангтон	не утв.	гуманоид, анимация=эльф-клерик	fahrin.CRE
Fairy Dragon	(н/у)	Волшебный Дракон	не утв.	монстр, анимация=WYVERN_FAMILIAR - 32557	famfai25.CRE
Falahar	Фалахар	Фалагар	да	гуманоид, анимация=мужчина-боец	demfig01.CRE
Faldorn	Фалдорн	Фалдорн	нет	гуманоид, анимация=женщина-клерик	cefald01.CRE
Falik	(н/у)	Фалик	не утв.	гуманоид, анимация=мужчина-боец	firwlf02.CRE
Fallen Deva	Падший Дэв	Павшая Дева	да	монстр, анимация=ANTISOLAR - 32572	devaevil.CRE
Fallen Paladin	(н/у)	Павший Паладин	не утв.	гуманоид, анимация=мужчина-боец	kaypal03.CRE
Fallen Planetar	(н/у)	Темный Планетар	не утв.	гуманоид-гигант, анимация=ANTISOLAR - 32572	planevil.CRE
Fallen Solar	(н/у)	Павший Солнечный	не утв.	гуманоид-гигант, анимация=ANTISOLAR - 32572	finsol04.CRE
Faltis	(н/у)	Фалтис	не утв.	гуманоид, анимация=мужчина-вор	mersil.CRE
Fanatic	(н/у)	Фанатик	не утв.	гуманоид, анимация=мужчина-клерик	vicg1.CRE
Faraji	(н/у)	Фараджи	не утв.	гуманоид, анимация=мальчик	murdboy1.CRE
Farluck	(н/у)	Фарлук	не утв.	гуманоид, анимация=эльф-боец	farluc.CRE
Farmer Brun	(н/у)	Фермер Брун	не утв.	гуманоид, анимация=крестьянин	farmbr.CRE
Farthing	(н/у)	Фартинг	не утв.	гуманоид, анимация=девочка	farthi.CRE
Farthington	Фартингтон	(-)	да	Lord Roenal	(-)
Farthy	Фарти	(-)	да	Lord Roenal	(-)
Fate Spirit	(н/у)	Дух Судьбы	не утв.	гуманоид, анимация=DOOM_GUARD - 2565	fatesp.CRE
Favored of Cyric	(н/у)	Любимчик Сирика	не утв.	гуманоид, анимация=теневой вор	chalcy02.CRE
Fayanna	(н/у)	Фаяна	не утв.	гуманоид, анимация=SIRINE - 8192	loveone1.CRE
Fear	(н/у)	Страх	не утв.	Нежить, анимация=зомби	fearm.CRE
Fearghus	(н/у)	Фергюс	не утв.	гуманоид, анимация=мужчина-боец	trainer1.CRE
Feldane	(н/у)	Филдан	не утв.	гуманоид, анимация=монах	feldan.CRE
Fell Cat	(н/у)	Падший Кот	не утв.	животное, анимация=GREATCAT_PANTHER - 32522	gorcamb6.CRE
Fell Ghast	(н/у)	Ужасный Гхаст	не утв.	Нежить, анимация=GHAST - 3466	ghastf01.CRE
Felonius Gist	(н/у)	Фелониус Гист	не утв.	гуманоид, анимация=дворянин	feloni.CRE
Female Thrall	(н/у)	Рабыня	не утв.	гуманоид, анимация=эльфийка-боец	pthral05.CRE
Fennecia	Фенниция (н/у)	(-)	не утв.	бывшая служанка Сернда	(-)
Fenrus	(н/у)	Фенрус	не утв.	гуманоид, анимация=дворянин	fenrus.CRE
Fenten	(н/у)	Фентен	не утв.	гуманоид, анимация=мужчина-дварф-боец	fenten.CRE
Fenwick	(н/у)	Фенвик	не утв.	гуманоид, (надо посмотреть в БГ1)	FENWIC.CRE
Fergus	(н/у)	Фергюс	не утв.	гуманоид, анимация=мужчина-клерик	fergus.CRE
Ferret	(н/у)	Хорек	не утв.	животное, анимация=хорек (сурок)	famfer.CRE
Ferric Ironblade	(н/у)	Феррик Айронблейд	не утв.	гуманоид, анимация=мужчина-вор	deshar.CRE
Ferrumach Rilmani	(н/у)	Феррумах Рилмани	не утв.	гуманоид, анимация=FIGHTER_MALE_HUMAN_LOW - 2736	gorgua02.CRE
Festule the Alchemist	(н/у)	Фистула Алхимик	не утв.	гуманоид, анимация=эльф-вор	doug.CRE
Fetch	(н/у)	Двойник	не утв.	гуманоид, анимация=крестьянин	fetch.CRE
Fighter	(н/у)	Воин	не утв.	гуманоид, анимация=мужчина-боец	aewere1.CRE
Finderlig	(н/у)	Финдерлиг	не утв.	гуманоид, анимация=мужчина-дварф-боец	uddear03.CRE
Fire Elemental	(н/у)	Огненный Элементаль	не утв.	гуманоид-гигант, анимация=элементаль огня	c6drowgo.CRE
Fire Giant	(н/у)	Огненный Гигант	не утв.	гуманоид, анимация=огненный гигант	giafir01.CRE
Fire Giant Mage	(н/у)	Огненный Гигант-Маг	не утв.	гуманоид-гигант, анимация=огненный гигант	hgmag01.CRE
Fire Lich	(н/у)	Огненный Лич	не утв.	Нежить, анимация=лич	firlch01.CRE
Fire Mephit	(н/у)	Огненный мефит	не утв.	гуманоид, анимация=имп	elemep04.CRE
Fire Salamander	(н/у)	Огненная саламандра	не утв.	монстр, анимация=IC_SALAMANDER - 59648	hgsal01.CRE
Fire Troll	(н/у)	Огненный Тролль	не утв.	гуманоид-гигант, анимация=троль	hgtrl01.CRE
Firebead Elvenhair	(н/у)	Фаербид Элвенхер	не утв.	гуманоид, анимация=эльф-маг	fireb1.CRE
Firecam	Файркам (н/у)	(-)	не утв.	(-)	(-)
Firkraag	Фиркрааг	Фиркрааг	нет	красный дракон, хранитель Карсомира	firkra02.CRE
Fisherman	(н/у)	Рыбак	не утв.	гуманоид, анимация=крестьянин	bfisher1.CRE
Fishwife	(н/у)	Торговка Рыбой	не утв.	гуманоид, анимация=крестьянка	pirfsh02.CRE
Fission Slime	(н/у)	Делящаяся Слизь	не утв.	монстр, анимация=SLIME_MUSTARD - 3978	jellspa.CRE
Fission Slime	(н/у)	Делящаяся слизь - Делящаяся Слизь	не утв.	монстр, анимация=SLIME_MUSTARD - 3978	slifis01.CRE
Flaming Fist Battle Wizard	(н/у)	Боевой маг Пламенеющего Кулака	не утв.	гуманоид, анимация=мужчина-клерик	flamwiz.CRE
Flaming Fist Enforcer	(н/у)	Ополченец Пламенеющего Кулака	не утв.	гуманоид, анимация=мужчина-клерик	ffhunt.CRE
Flaming Fist Mercenary	(н/у)	Наемник Пламенеющего Кулака	не утв.	гуманоид, анимация=мужчина-клерик	chimp5.CRE
Flaming Fist Scout	(н/у)	Разведчик Пламенеющего Кулака	не утв.	гуманоид, анимация=мужчина-клерик	flamsco.CRE
Flaming Skull	(н/у)	Пылающий Череп	не утв.	Нежить, анимация=DEMILICH - 32526	gorsku01.CRE
Flaylan the Orc	(н/у)	Орк Флейлан	не утв.	гуманоид, анимация=IC_ORC_MELEE3 - 59424	firorc03.CRE
Fledgling Vampire	(н/у)	Молодой Вампир	не утв.	Нежить, анимация=вампир	c6vamp01.CRE
Flesh Golem	(н/у)	Плотский голем	не утв.	гуманоид, анимация=огриллион	fgolem.CRE
Fletcher	(н/у)	Меняла	не утв.	гуманоид, анимация=эльф-боец	trmer03.CRE
Flind	(н/у)	Флинд	не утв.	гуманоид, анимация=гнолл	flind.CRE
Fll'Yissetat	(н/у)	Фллйиссетат	не утв.	монстр, анимация=зеленый дракон	bazdra03.CRE
Flydian	(н/у)	Флайдиан	не утв.	гуманоид, анимация=крестьянин	messen.CRE
Food	(н/у)	Еда	не утв.	гуманоид, анимация=крестьянка	food.CRE
Footy	(н/у)	Фути	не утв.	гуманоид, анимация=мальчик	footy.CRE
Forest Spirit	(н/у)	Лесной Дух	не утв.	гуманоид, анимация=DOOM_GUARD_LARGER - 2566	head1.CRE
Forge	(н/у)	Кузница	не утв.	гуманоид, анимация=DOOM_GUARD - 2565	wsmith02.CRE
Forp	Форп (н/у)	(-)	не утв.	(-)	(-)
Forthel August	(н/у)	Август Фортель	не утв.	гуманоид, анимация=мужчина-вор	forthe.CRE
Fovem	(н/у)	Фовем	не утв.	гуманоид, анимация=мужчина-вор	dmark1.CRE
Franco	(н/у)	Франко	не утв.	гуманоид, анимация=мужчина-боец	franco.CRE
Frankie - Frankie	(н/у)	Френки	не утв.	гуманоид, анимация=дворянин	copgreet.CRE
Frennedan	(н/у)	Френнедан	не утв.	гуманоид, анимация=толстяк	shape.CRE
Freshwater Troll	(н/у)	Пресноводный Тролль	не утв.	монстр, анимация=троль	trolfr01.CRE
Frithior	Фритиор (н/у)	(-)	не утв.	имеет отношение к мечу Ангурвадал	(-)
Front	(н/у)	Перед	не утв.	гуманоид, анимация=мужчина-клерик	pirmur03.CRE
Frost Salamander	(н/у)	Морозная Саламандра	не утв.	монстр, анимация=IC_SALAMANDER2 - 59664	salgrice.CRE
Fuernebol	(н/у)	Фернебол	не утв.	гуманоид, анимация=мужчина-дварф-вор	d2fue.CRE
